	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015
Afghanistan	280.98	256.27	234.26	216.07	198.77	180.32	159.16	134.14	111.31	98.68	89.53	79.51	71.12
Albania	144.92	124.94	98.95	76.97	57.99	46.85	43.2	37.84	30.74	26.3	20.25	16.11	14.42
Algeria	163.06	153.57	142.88	132.35	122.25	105.5	75.37	55.38	47.67	41.92	37.45	34.18	30.28
Angola	230.82	215.04	200.16	186.2	173.03	160.95	157.11	153.18	150.66	138.01	116.05	104.35	96.22
Argentina	63.93	58.8	59.76	57.41	48.12	39.08	32.2	27.13	24.36	21.85	15.04	14.61	13.69
Armenia	83.0	78.0	73.01	68.01	62.99	57.99	52.98	47.99	44.12	35.02	27.0	21.01	13.22
Australia	23.69	21.34	19.72	17.99	16.96	12.76	9.86	8.79	6.74	5.52	4.94	4.48	3.96
Austria	55.11	43.2	32.78	26.43	24.32	16.9	12.55	9.47	7.12	4.81	4.52	3.78	3.09
Azerbaijan	120.05	115.04	110.05	105.05	100.02	95.03	90.0	85.0	81.83	61.28	52.01	41.06	39.6
Bahamas	70.58	58.31	48.14	39.72	32.76	27.0	22.24	18.31	15.56	14.16	11.58	10.04	9.06
Bahrain	172.56	146.78	105.44	70.81	47.47	31.96	23.14	18.54	14.85	11.98	9.76	7.96	6.91
Bangladesh	220.69	189.2	165.88	152.39	183.19	139.68	125.88	108.86	90.3	72.57	56.01	43.31	33.1
Belarus	95.68	56.56	37.76	25.79	21.19	21.92	19.55	16.41	15.09	14.91	9.59	6.27	3.99
Belgium	46.02	35.45	27.71	22.52	18.84	14.05	11.0	9.31	7.96	5.38	4.33	3.82	3.33
Belize	100.18	88.57	78.2	68.54	59.57	50.49	39.87	35.2	29.71	23.02	19.68	16.99	14.33
Benin	209.68	192.46	176.9	162.61	147.91	134.17	122.33	112.75	102.58	92.06	82.37	73.78	68.7
Bhutan	269.09	238.95	212.13	188.63	158.79	131.13	109.96	92.04	75.64	61.74	51.93	39.52	30.49
Bolivia	173.02	165.44	156.6	146.5	135.27	123.28	110.8	97.83	84.91	72.57	61.21	51.02	42.95
Bosnia and Herzegovina	188.6	135.73	98.06	72.64	49.21	34.03	25.61	17.56	18.42	11.14	9.86	9.03	7.6
Botswana	135.21	123.78	113.38	104.05	90.31	74.69	63.53	57.84	56.67	64.82	58.3	38.57	32.49
Brazil	136.51	123.97	111.95	101.46	91.87	83.61	71.72	55.56	42.78	34.37	28.19	23.89	20.33
Brunei	81.36	66.53	49.09	39.33	31.49	25.18	20.12	16.06	12.82	10.22	8.15	6.49	4.19
Bulgaria	91.96	65.6	37.47	30.68	25.96	22.06	17.83	14.28	15.4	15.25	13.17	9.85	9.02
Burkina Faso	228.22	209.14	192.24	172.16	153.56	133.04	119.31	109.73	104.02	99.51	90.01	78.16	66.54
Burundi	166.77	157.68	148.9	140.51	136.68	125.14	117.26	112.39	120.61	102.74	94.6	86.26	77.87
Cambodia	142.64	135.7	134.36	132.07	138.78	320.44	153.54	86.0	86.13	86.38	65.88	44.97	29.92
Cameroon	169.54	157.85	144.97	133.08	120.01	107.57	98.35	93.41	89.85	88.19	86.78	82.47	73.51
Canada	38.5	32.59	26.53	21.27	16.77	12.61	9.24	7.51	6.33	5.47	5.24	5.13	4.73
Central African Republic	204.13	189.59	175.86	159.77	138.46	119.22	110.39	109.05	111.63	113.83	112.79	105.76	93.47
Chad	186.47	177.63	168.82	159.72	146.31	137.78	130.14	123.28	119.15	114.25	110.86	106.03	95.85
Chile	129.58	118.79	106.53	87.34	68.62	53.12	38.75	28.38	19.56	13.04	9.3	7.7	7.17
China	128.9	131.06	135.04	93.86	72.0	54.98	44.67	42.29	40.46	34.25	25.32	16.74	11.65
Colombia	123.22	105.39	92.13	82.21	73.06	56.73	42.98	35.36	27.64	23.99	20.48	19.05	17.92
Congo	142.12	122.77	106.99	96.63	89.97	84.1	79.21	77.66	79.72	84.95	81.84	64.29	50.61
Congo_DR	166.75	157.67	151.31	143.56	133.79	129.22	121.55	116.08	109.77	112.95	99.57	83.87	73.18
Costa Rica	103.32	92.72	82.13	69.77	56.36	35.15	22.65	17.38	14.57	12.37	10.89	10.02	9.33
Croatia	95.53	70.76	49.72	34.94	25.38	21.9	18.25	13.52	10.21	7.11	6.52	5.75	3.95
Cuba	80.69	69.93	59.45	49.69	38.49	22.34	17.65	13.01	9.94	7.98	6.13	5.68	5.5
Cyprus	64.93	51.14	40.18	31.51	24.68	19.3	15.09	11.79	9.19	7.16	5.59	4.35	4.2
Czech Republic	46.27	24.33	20.11	21.88	20.29	17.84	14.81	11.5	9.41	5.81	4.01	3.15	2.46
C̫te d'Ivoire	268.03	236.91	200.22	169.47	144.21	124.87	112.62	106.63	103.27	99.25	91.63	84.61	73.43
Denmark	28.29	23.56	20.44	16.35	12.43	9.2	7.85	8.08	6.46	4.9	4.65	3.82	3.47
Djibouti	154.4	143.47	131.38	120.3	104.06	96.41	87.4	81.26	76.14	71.78	68.13	63.45	55.31
Dominican Republic	153.23	138.72	123.99	109.02	95.97	86.02	75.23	62.94	47.65	41.35	34.96	29.59	25.09
East Timor	264.61	241.82	220.83	201.22	183.36	253.8	183.65	141.46	118.77	84.75	63.99	50.16	43.91
Ecuador	138.29	128.2	119.14	107.06	94.96	81.5	68.29	55.07	43.14	33.82	27.1	23.37	21.06
Egypt	248.69	204.61	184.06	170.17	165.44	133.17	106.87	74.3	59.56	36.69	29.36	23.47	18.92
El Salvador	150.45	135.17	121.7	110.68	101.62	92.77	79.92	60.6	41.14	29.12	23.61	20.73	17.03
Equatorial Guinea	196.61	186.23	176.29	166.78	157.67	148.65	129.63	120.99	110.8	100.16	90.6	80.44	70.1
Eritrea	199.88	190.35	179.09	161.49	140.38	125.32	116.03	104.65	89.89	73.27	61.79	53.91	46.49
Estonia	84.91	50.12	33.44	23.49	21.14	21.85	20.31	18.26	16.34	11.99	7.26	4.75	3.2
Ethiopia	199.54	181.67	160.19	148.09	140.7	136.72	140.3	125.9	114.17	96.7	77.98	59.89	49.99
Finland	34.47	26.07	19.53	15.08	11.95	8.77	6.5	6.01	5.11	3.86	3.28	2.77	2.26
France	45.64	33.6	25.43	20.72	16.26	11.82	9.48	8.01	6.8	4.74	4.27	3.68	3.34
French Polynesia	129.63	99.86	89.05	79.47	71.35	58.61	34.75	19.67	18.06	10.18	9.4	8.77	6.91
Gabon	179.55	166.77	157.69	134.39	113.63	95.02	77.68	62.94	60.07	59.69	59.96	52.7	43.18
Gambia	156.29	150.08	144.18	127.49	113.46	100.97	89.96	81.57	75.21	69.62	60.04	50.95	47.07
Georgia	80.03	73.03	66.03	59.02	52.02	49.35	46.68	44.02	45.01	37.55	29.01	19.41	13.66
Germany	46.4	38.56	30.24	22.64	20.8	15.53	11.07	8.28	6.19	4.84	4.2	3.7	3.1
Ghana	147.49	133.57	122.09	113.31	106.54	99.27	92.7	82.76	72.51	66.91	60.91	55.35	51.08
Greece	45.81	41.19	38.02	33.62	24.98	20.84	14.72	11.52	8.28	6.92	4.79	4.23	2.84
Grenada	107.89	86.73	69.38	55.39	44.13	35.1	27.89	22.12	17.53	13.88	12.03	10.18	9.58
Guatemala	140.91	133.85	126.78	115.53	102.48	90.96	79.34	67.08	54.82	45.54	38.66	30.14	22.64
Guinea	207.04	200.11	195.12	192.29	185.54	171.49	156.56	142.47	128.31	111.79	95.25	80.99	59.2
Guinea-Bissau	180.38	174.45	167.95	159.18	152.27	143.01	134.83	128.53	121.55	114.96	108.05	101.94	91.87
Guyana	72.28	66.84	62.08	57.42	56.0	54.46	52.53	49.9	44.94	40.49	36.56	34.41	33.23
Haiti	221.59	195.06	171.75	151.23	135.72	132.01	123.24	100.98	85.8	70.26	56.06	52.22	46.96
Honduras	169.3	153.97	135.54	119.02	103.71	81.06	65.01	52.99	43.05	35.06	31.22	29.44	27.79
Hungary	71.89	54.73	42.93	37.25	35.99	25.86	19.99	17.06	13.17	9.59	7.43	5.59	4.62
Iceland	21.43	18.5	16.74	13.41	11.85	9.42	6.4	5.62	4.79	4.01	2.62	2.01	2.03
India	186.18	170.44	157.54	146.79	135.78	120.67	105.65	93.15	81.93	71.01	59.94	50.11	41.36
Indonesia	192.56	166.71	143.96	124.02	104.93	91.67	80.01	68.32	56.18	45.27	36.49	29.69	24.97
Iran	220.22	197.62	174.81	153.62	123.74	95.47	71.3	49.82	39.81	32.34	25.05	18.91	14.78
Iraq	225.44	169.94	128.62	91.4	72.74	56.99	43.29	38.07	36.57	36.2	34.68	33.28	32.13
Ireland	41.45	34.27	28.09	22.91	18.28	15.2	10.23	8.38	6.79	6.11	5.51	3.74	2.93
Israel	38.93	33.06	28.32	24.33	20.67	17.09	13.72	10.78	8.36	6.46	5.01	3.9	3.48
Italy	60.41	48.64	40.97	33.19	26.73	17.95	12.93	9.65	7.59	5.64	4.23	3.48	2.3
Jamaica	90.0	75.83	58.79	48.87	42.15	32.98	30.42	25.93	22.64	21.57	19.97	17.89	15.04
Japan	50.07	37.25	25.84	16.48	11.95	8.75	6.63	4.96	4.44	3.75	3.03	2.59	2.2
Jordan	147.46	119.69	95.53	77.39	65.71	54.01	42.71	33.97	29.06	25.58	22.4	19.69	17.07
Kazakhstan	110.12	101.79	93.46	85.17	76.89	68.6	60.31	52.01	51.06	43.47	32.04	27.0	14.12
Kenya	147.17	133.79	117.09	104.48	91.6	80.47	69.89	67.81	71.71	74.32	67.87	59.27	52.48
Kuwait	123.8	93.82	70.7	53.94	41.53	33.07	23.9	16.27	12.69	10.88	10.22	9.65	8.63
Kyrgyzstan	140.19	130.16	120.13	110.1	100.06	90.03	80.04	70.03	59.88	48.3	40.33	36.4	19.56
Laos	177.08	166.99	157.02	147.55	138.24	130.43	122.03	108.47	95.71	82.44	69.23	56.74	46.78
Latvia	76.87	45.34	30.28	22.27	20.04	22.85	18.5	14.57	17.56	15.73	9.92	7.8	6.49
Lebanon	68.44	59.74	52.95	47.26	41.73	38.06	34.97	30.43	25.13	18.84	13.81	10.6	9.29
Lesotho	169.18	150.24	134.2	130.18	122.96	109.57	93.78	83.61	69.36	79.16	84.14	75.69	60.14
Liberia	224.45	218.49	212.21	194.99	177.64	163.83	154.23	157.78	154.59	128.82	96.88	71.8	61.18
Libya	254.08	230.08	166.22	121.47	90.01	67.16	51.03	41.21	32.93	29.63	27.23	24.29	24.29
Lithuania	107.83	63.88	42.71	27.03	22.08	22.46	18.35	14.92	16.48	11.02	7.66	5.97	3.76
Luxembourg	43.44	36.95	29.2	20.91	17.84	13.13	11.99	8.99	7.25	4.86	4.95	2.32	1.58
Madagascar	182.76	168.65	156.52	144.72	133.91	122.45	109.09	107.88	100.09	77.76	57.99	45.5	36.78
Malawi	197.97	192.55	185.92	180.1	168.94	159.37	152.56	150.57	139.24	121.43	105.13	79.65	60.09
Malaysia	102.39	81.12	63.63	48.3	36.61	27.71	20.94	15.81	11.92	8.99	6.77	6.77	6.76
Mali	242.34	223.84	207.17	191.71	176.43	162.85	150.76	139.08	128.12	118.19	108.94	89.43	84.0
Malta	50.52	33.15	27.88	23.43	19.68	16.53	13.88	11.64	9.77	8.19	6.87	5.76	4.83
Mauritania	147.98	135.49	122.8	113.65	106.18	98.88	89.25	82.7	79.68	76.12	75.63	72.66	67.27
Mexico	121.33	101.62	88.19	79.53	69.02	56.9	47.08	39.52	33.09	27.7	20.51	19.93	18.79
Micronesia	96.52	86.52	76.9	67.65	58.32	49.35	47.02	44.63	42.29	39.98	37.93	34.86	32.66
Moldova	81.29	69.04	59.03	49.03	46.02	46.02	35.56	31.27	29.0	24.49	18.86	15.54	10.89
Mongolia	183.2	165.09	134.69	118.76	106.58	104.57	102.39	91.76	67.56	53.95	40.83	30.52	25.79
